Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,std10e4,,,,gadmor_cytb,3955.69677734375,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,79113.9375,,,4048.16943359375,3869.96606445313,18728,18079,649,0,0,0,0,,,,,,,,,7219.40380859375,,,9.17372832333207,7.30708710482683,,,,,,,,,,,,10123.2659001595,5754.81155503659,9971.88150940854,,,,,4001.96826171875,3911.17651367188,,,,,,,,,,,,,No
A02,SAFIPO_smpl,,,,gadmor_cytb,1000000,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20000000,,,1000000,10328.044921875,19460,19460,0,0,0,0,0,,,,,,,,,7219.40380859375,,,8.05329754829889,,,,,,,,,,,,,9847.41231402155,,9847.41231402155,,,,,1000000,11249.453125,,,,,,,,,,,,,No
A03,SAFIPO_smpl,,,,gadmor_cytb,1000000,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20000000,,,1000000,10114.5888671875,16231,16231,0,0,0,0,0,,,,,,,,,7219.40380859375,,,7.4293802864806,,,,,,,,,,,,,9665.38968760589,,9665.38968760589,,,,,1000000,11035.998046875,,,,,,,,,,,,,No
A04,SAFIPO_smpl,,,,gadmor_cytb,2652.57885742188,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,53051.578125,,,2700.97534179688,2606.09497070313,20180,18063,2117,0,0,0,0,,,,,,,,,7219.40380859375,,,11.9508001806366,6.98362832572844,,,,,,,,,,,,9867.58330497664,5973.75915856017,9459.09838337289,,,,,2677.02221679688,2628.63330078125,,,,,,,,,,,,,No
A05,SAFIPO_smpl,,,,gadmor_cytb,2074.74829101563,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,41494.96484375,,,2112.07299804688,2038.57153320313,19039,15775,3264,0,0,0,0,,,,,,,,,7219.40380859375,,,8.50092880065434,7.47333457703533,,,,,,,,,,,,9696.64172416675,5843.22330519732,9036.02101302035,,,,,2093.6435546875,2056.15185546875,,,,,,,,,,,,,No
B01,std10e3,,,,gadmor_cytb,382.92333984375,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,7658.466796875,,,393.490570068359,372.450134277344,18483,5135,13348,0,0,0,0,,,,,,,,,7219.40380859375,,,8.38207198282598,9.88413807358939,,,,,,,,,,,,9791.4759739951,5561.16708020104,6736.44361375254,,,,,388.302917480469,377.568206787109,,,,,,,,,,,,,No
B02,SAFIPO_smpl,,,,gadmor_cytb,1000000,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20000000,,,1000000,10245.212890625,18137,18137,0,0,0,0,0,,,,,,,,,7219.40380859375,,,9.75238530990219,,,,,,,,,,,,,9907.91823355313,,9907.91823355313,,,,,1000000,11166.6220703125,,,,,,,,,,,,,No
B03,SAFIPO_smpl,,,,gadmor_cytb,1000000,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20000000,,,1000000,10245.9267578125,18148,18148,0,0,0,0,0,,,,,,,,,7219.40380859375,,,11.5642128559063,,,,,,,,,,,,,9723.11820372123,,9723.11820372123,,,,,1000000,11167.3349609375,,,,,,,,,,,,,No
B04,SAFIPO_smpl,,,,gadmor_cytb,1852.81958007813,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,37056.390625,,,1886.48022460938,1820.09558105469,18495,14666,3829,0,0,0,0,,,,,,,,,7219.40380859375,,,9.69722764217396,7.52447478239031,,,,,,,,,,,,9962.47543608383,5951.4878083989,9132.08497236901,,,,,1869.87316894531,1836.01000976563,,,,,,,,,,,,,No
B05,SAFIPO_smpl,,,,gadmor_cytb,2563.94213867188,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,51278.84375,,,2612.896484375,2516.94360351563,18132,16081,2051,0,0,0,0,,,,,,,,,7219.40380859375,,,7.83233413794057,7.11613772663048,,,,,,,,,,,,9688.25744801221,5866.82650279208,9255.99653533592,,,,,2588.66455078125,2539.72900390625,,,,,,,,,,,,,No
