Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,STD10E4,,,,Plepla,4448.35791015625,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,88967.15625,,,4569.6806640625,4338.38525390625,17151,16760,391,0,0,0,0,,,,,,,,,13084.9482421875,,,10.174062925466,11.7976298206928,,,,,,,,,,,,18172.6101151714,7408.32406764506,17927.2112553625,,,,,4508.69384765625,4390.96630859375,,,,,,,,,,,,,No
A02,smpl,,,,Plepla,0.395673960447311,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,7.91347932815552,,,0.808899581432343,0.154956445097923,17843,6,17837,0,0,0,0,,,,,,,,,13084.9482421875,,,0.867593109562413,17.9814846213738,,,,,,,,,,,,18970.2631835938,8635.65726505123,8639.13244498236,,,,,0.581686675548553,0.254337131977081,,,,,,,,,,,,,No
A03,smpl,,,,Plepla,0.332796990871429,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6.65594005584717,,,0.72328782081604,0.117000684142113,17678,5,17673,0,0,0,0,,,,,,,,,13084.9482421875,,,1.48592602649014,16.5231598163031,,,,,,,,,,,,22041.2009765625,8988.05805725674,8991.74997458883,,,,,0.506887257099152,0.204059943556786,,,,,,,,,,,,,No
A04,smpl,,,,Plepla,0.0663454458117485,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.32690894603729,,,0.316899597644806,0.0027864333242178,17733,1,17732,0,0,0,0,,,,,,,,,13084.9482421875,,,,13.9769410495834,,,,,,,,,,,,13356.30859375,8783.65459619923,8783.91245747468,,,,,0.165140748023987,0.0179792456328869,,,,,,,,,,,,,No
A05,smpl,,,,Plepla,0.301806181669235,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6.03612375259399,,,0.65592348575592,0.106106221675873,19493,5,19488,0,0,0,0,,,,,,,,,13084.9482421875,,,1.34709022243628,14.6840359703723,,,,,,,,,,,,16157.7685546875,9322.07307140933,9323.82644325647,,,,,0.45968160033226,0.185058355331421,,,,,,,,,,,,,No
A06,smpl,,,,Plepla,0.307968556880951,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6.1593713760376,,,0.669318377971649,0.108272545039654,19103,5,19098,0,0,0,0,,,,,,,,,13084.9482421875,,,1.64681068899523,12.7221760232949,,,,,,,,,,,,13805.6205078125,9317.66783076414,9318.84250298239,,,,,0.469068169593811,0.188836738467216,,,,,,,,,,,,,No
A07,smpl,,,,Plepla,0.321888566017151,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6.43777132034302,,,0.699576139450073,0.113165989518166,18277,5,18272,0,0,0,0,,,,,,,,,13084.9482421875,,,1.6860204219382,12.4535102310941,,,,,,,,,,,,16119.3962890625,9494.08429917103,9495.8967716747,,,,,0.490271389484406,0.197371631860733,,,,,,,,,,,,,No
A08,smpl,,,,Plepla,0.182923212647438,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.65846419334412,,,0.484869688749313,0.043411199003458,19296,3,19293,0,0,0,0,,,,,,,,,13084.9482421875,,,1.1828388246289,12.0032679979534,,,,,,,,,,,,20640.2740885417,9700.37609222338,9702.07694701136,,,,,0.31318187713623,0.0950555428862572,,,,,,,,,,,,,No
A09,smpl,,,,Plepla,0.249490097165108,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4.98980188369751,,,0.588319957256317,0.07527806609869,18864,4,18860,0,0,0,0,,,,,,,,,13084.9482421875,,,1.70943052432893,11.9777593372163,,,,,,,,,,,,15493.7939453125,9570.34891055806,9571.60494216,,,,,0.398523300886154,0.143263220787048,,,,,,,,,,,,,No
A10,smpl,,,,Plepla,0.237610831856728,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4.75221681594849,,,0.560303747653961,0.0716940090060234,19807,4,19803,0,0,0,0,,,,,,,,,13084.9482421875,,,1.64271714452137,11.628716043396,,,,,,,,,,,,18196.2658691406,9865.38221456937,9867.06462657615,,,,,0.379546791315079,0.136442139744759,,,,,,,,,,,,,No
A11,smpl,,,,Plepla,0.175048321485519,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.50096654891968,,,0.463993400335312,0.0415424443781376,20164,3,20161,0,0,0,0,,,,,,,,,13084.9482421875,,,1.15430621919145,10.9266809224403,,,,,,,,,,,,21542.0403645833,9726.93441073286,9728.69226224355,,,,,0.299698621034622,0.0909635275602341,,,,,,,,,,,,,No
A12,smpl,,,,Plepla,0.162946060299873,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.25892114639282,,,0.521995902061462,0.0246848780661821,14441,2,14439,0,0,0,0,,,,,,,,,13084.9482421875,,,3.33388285466422,5.07220662254004,,,,,,,,,,,,14289.6357421875,9315.87541598086,9316.56425474912,,,,,0.313283830881119,0.0707158222794533,,,,,,,,,,,,,No
B01,STD10E3,,,,Plepla,459.133758544922,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9182.6748046875,,,471.1064453125,447.281707763672,17888,5780,12108,0,0,0,0,,,,,,,,,13084.9482421875,,,10.2980805956383,24.8182161717586,,,,,,,,,,,,18060.8740650005,7411.6397255027,10852.6378517492,,,,,465.22705078125,453.071868896484,,,,,,,,,,,,,No
B02,smpl,,,,Plepla,0.279729098081589,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5.59458208084106,,,0.659637689590454,0.0844012424349785,16825,4,16821,0,0,0,0,,,,,,,,,13084.9482421875,,,1.33266233330718,17.3210450810706,,,,,,,,,,,,15715.5522460938,8668.0643887117,8669.73986873723,,,,,0.44682902097702,0.160626277327538,,,,,,,,,,,,,No
