Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,STD10E4,,,,Plafle,3221.99267578125,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,64439.8515625,,,3285.3046875,3161.91455078125,20246,18937,1309,0,0,0,0,,,,,,,,,7589.92138671875,,,15.8822821307382,20.7356417359125,,,,,,,,,,,,13355.4902776156,3632.31368321476,12726.840758596,,,,,3253.86889648438,3190.95727539063,,,,,,,,,,,,,No
A02,smpl,,,,Plafle,0.235164776444435,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4.70329570770264,,,0.55453497171402,0.0709560215473175,20013,4,20009,0,0,0,0,,,,,,,,,7589.92138671875,,,96.0352217667137,29.2760946863845,,,,,,,,,,,,12252.6896972656,4229.32392797509,4230.92755876893,,,,,0.375639379024506,0.135037615895271,,,,,,,,,,,,,No
A03,smpl,,,,Plafle,0.174175828695297,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.48351669311523,,,0.461680382490158,0.0413353964686394,20265,3,20262,0,0,0,0,,,,,,,,,7589.92138671875,,,20.5265692030623,34.586517772136,,,,,,,,,,,,12133.0774739583,3851.25242536878,3852.47845424348,,,,,0.298204720020294,0.0905101448297501,,,,,,,,,,,,,No
A04,smpl,,,,Plafle,0.0617132522165775,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.23426508903503,,,0.294771671295166,0.00259189144708216,19064,1,19063,0,0,0,0,,,,,,,,,7589.92138671875,,,,31.4502644426293,,,,,,,,,,,,12338.09765625,3992.87926176065,3993.31700926351,,,,,0.153610289096832,0.0167239718139172,,,,,,,,,,,,,No
A05,smpl,,,,Plafle,0.124434985220432,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.48869967460632,,,0.398611694574356,0.0188510529696941,18910,2,18908,0,0,0,0,,,,,,,,,7589.92138671875,,,237.836518645465,24.4417735454904,,,,,,,,,,,,12943.2172851563,4167.28818241617,4168.21636106268,,,,,0.239237934350967,0.0540031678974628,,,,,,,,,,,,,No
B01,STD10E3,,,,Plafle,272.884857177734,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5457.697265625,,,281.383819580078,264.446807861328,19356,4007,15349,0,0,0,0,,,,,,,,,7589.92138671875,,,13.9033287082441,39.6042114074056,,,,,,,,,,,,12506.9741653279,3356.76172038831,5251.00129813541,,,,,277.21337890625,268.572174072266,,,,,,,,,,,,,No
B02,smpl,,,,Plafle,0.115362875163555,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.30725741386414,,,0.369547218084335,0.017476748675108,20397,2,20395,0,0,0,0,,,,,,,,,7589.92138671875,,,1.69778868223285,31.6947391052965,,,,,,,,,,,,10339.6186523438,4181.08240618153,4181.68627304883,,,,,0.221795156598091,0.0500660948455334,,,,,,,,,,,,,No
B03,smpl,,,,Plafle,0.0645755976438522,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.29151201248169,,,0.308445036411285,0.0027121037710458,18219,1,18218,0,0,0,0,,,,,,,,,7589.92138671875,,,,19.1377755550107,,,,,,,,,,,,12689.09765625,4451.18844874189,4451.64060908041,,,,,0.160735249519348,0.0174996368587017,,,,,,,,,,,,,No
B04,smpl,,,,Plafle,0.467529267072678,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9.35058498382568,,,0.910651326179504,0.198610439896584,17618,7,17611,0,0,0,0,,,,,,,,,7589.92138671875,,,5.16467973397353,23.8537384022011,,,,,,,,,,,,12412.3712332589,4146.55682887016,4149.84100986861,,,,,0.668757617473602,0.311420649290085,,,,,,,,,,,,,No
B05,smpl,,,,Plafle,0.180953711271286,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.61907434463501,,,0.479648560285568,0.0429438315331936,19506,3,19503,0,0,0,0,,,,,,,,,7589.92138671875,,,65.1556663049476,27.140091591953,,,,,,,,,,,,12483.4143880208,3953.80698967987,3955.11883332773,,,,,0.30980971455574,0.0940321385860443,,,,,,,,,,,,,No
C01,STD10E2,,,,Plafle,23.6042194366455,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,472.084381103516,,,25.9053974151611,21.3075332641602,20389,405,19984,0,0,0,0,,,,,,,,,7589.92138671875,,,8.5118119350834,26.505759397174,,,,,,,,,,,,12245.5054253472,3284.60349312165,3462.5997304335,,,,,24.7777271270752,22.4318809509277,,,,,,,,,,,,,No
C02,smpl,,,,Plafle,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.180805131793022,0,19496,0,19496,0,0,0,0,,,,,,,,,7589.92138671875,,,,33.654134188646,,,,,,,,,,,,,3876.44641992368,3876.44641992368,,,,,0.0826141163706779,0,,,,,,,,,,,,,No
C03,smpl,,,,Plafle,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.174072429537773,0,20250,0,20250,0,0,0,0,,,,,,,,,7589.92138671875,,,,36.3916043507687,,,,,,,,,,,,,3615.9808519483,3615.9808519483,,,,,0.0795379057526588,0,,,,,,,,,,,,,No
C04,smpl,,,,Plafle,0.45857360959053,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9.17147254943848,,,0.893204271793365,0.194806441664696,17962,7,17955,0,0,0,0,,,,,,,,,7589.92138671875,,,26.7895465531305,25.8972794848621,,,,,,,,,,,,11418.3681640625,3867.82982672338,3870.77235920091,,,,,0.655946314334869,0.305455654859543,,,,,,,,,,,,,No
C05,smpl,,,,Plafle,0.242171794176102,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4.84343576431274,,,0.571060359477997,0.0730700865387917,19434,4,19430,0,0,0,0,,,,,,,,,7589.92138671875,,,13.9200092597723,27.4055377371263,,,,,,,,,,,,11952.2436523438,3815.76179535964,3817.43648546091,,,,,0.386832684278488,0.1390610486269,,,,,,,,,,,,,No
D01,STD10E1,,,,Plafle,2.43407773971558,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,48.6815567016602,,,3.24917006492615,1.76849496364594,20321,42,20279,0,0,0,0,,,,,,,,,7589.92138671875,,,4.40680703704066,19.1494534019975,,,,,,,,,,,,11726.9929780506,3174.02699756608,3191.70450217611,,,,,2.82823467254639,2.07844638824463,,,,,,,,,,,,,No
D02,smpl,,,,Plafle,0.0625233501195908,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.25046706199646,,,0.298641502857208,0.00262591359205544,18817,1,18816,0,0,0,0,,,,,,,,,7589.92138671875,,,,25.2509690274282,,,,,,,,,,,,13253.7431640625,3952.80949721044,3953.3037807661,,,,,0.155626773834229,0.0169434994459152,,,,,,,,,,,,,No
D03,smpl,,,,Plafle,0.466044276952744,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9.32088565826416,,,0.872760534286499,0.21097868680954,20199,8,20191,0,0,0,0,,,,,,,,,7589.92138671875,,,23.0468232997307,31.3875813443659,,,,,,,,,,,,12063.8040771484,4000.10146129367,4003.29516498825,,,,,0.651872754096985,0.319453477859497,,,,,,,,,,,,,No
D04,smpl,,,,Plafle,0.145180553197861,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.9036111831665,,,0.46507653594017,0.0219937022775412,16208,2,16206,0,0,0,0,,,,,,,,,7589.92138671875,,,30.642319696201,15.0091863696859,,,,,,,,,,,,12455.8110351563,4165.10842362589,4166.13146195407,,,,,0.279125481843948,0.063006155192852,,,,,,,,,,,,,No
