Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,std10e4,,,,Gadmor_cytb,3804.38427734375,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,76087.6875,,,3896.17944335938,3719.236328125,16620,15965,655,0,0,0,0,,,,,,,,,7566.31396484375,,,5.79776469650198,3.62689958125984,,,,,,,,,,,,10553.5770814575,6292.79048857944,10385.6579949151,,,,,3850.32348632813,3760.17211914063,,,,,,,,,,,,,No
A02,SAFIPO_smpl,,,,Gadmor_cytb,2975.41650390625,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,59508.328125,,,3036.162109375,2917.65380859375,17509,16113,1396,0,0,0,0,,,,,,,,,7566.31396484375,,,9.86975438901139,10.6353895455704,,,,,,,,,,,,9594.19300333848,5906.50804894565,9300.17231704387,,,,,3006.01733398438,2945.591796875,,,,,,,,,,,,,No
A03,SAFIPO_smpl,,,,Gadmor_cytb,2124.79345703125,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,42495.8671875,,,2165.25415039063,2085.67822265625,17097,14288,2809,0,0,0,0,,,,,,,,,7566.31396484375,,,8.82090429252296,11.4243517495316,,,,,,,,,,,,9447.387702079,5752.86368765853,8840.38542352094,,,,,2145.2626953125,2104.67431640625,,,,,,,,,,,,,No
A04,SAFIPO_smpl,,,,Gadmor_cytb,14.4576940536499,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,289.153869628906,,,16.509895324707,12.4090671539307,15638,191,15447,0,0,0,0,,,,,,,,,7566.31396484375,,,7.84774277691134,19.3716207637162,,,,,,,,,,,,9225.95718463678,5240.14434509811,5288.82641776417,,,,,15.5042877197266,13.4120302200317,,,,,,,,,,,,,No
A05,SAFIPO_smpl,,,,Gadmor_cytb,3401.21801757813,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,68024.359375,,,3481.34448242188,3326.2021484375,15076,14239,837,0,0,0,0,,,,,,,,,7566.31396484375,,,11.155726594898,12.1720272925843,,,,,,,,,,,,9808.84093903079,5871.33176581635,9590.23552791507,,,,,3441.41674804688,3362.34741210938,,,,,,,,,,,,,No
A06,SAFIPO_smpl,,,,Gadmor_cytb,1886.75720214844,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,37735.14453125,,,1921.48132324219,1853.02868652344,18037,14409,3628,0,0,0,0,,,,,,,,,7566.31396484375,,,11.0791766619502,10.8727268452787,,,,,,,,,,,,9685.63687849445,5609.83885036414,8865.82231697886,,,,,1904.34558105469,1869.42797851563,,,,,,,,,,,,,No
A07,SAFIPO_smpl,,,,Gadmor_cytb,No Call,,CHECK,Droplet Count < 1000,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
A08,SAFIPO_smpl,,,,Gadmor_cytb,1.72340595722198,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,34.4681205749512,,,2.44607925415039,1.1595743894577,19128,28,19100,0,0,0,0,,,,,,,,,7566.31396484375,,,11.3385916810846,16.2182487874971,,,,,,,,,,,,9831.01109095982,5497.67271221061,5504.01595115901,,,,,2.06937623023987,1.41842555999756,,,,,,,,,,,,,No
A09,SAFIPO_smpl,,,,Gadmor_cytb,1653.22705078125,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,33064.5390625,,,1682.11743164063,1625.02917480469,20085,15158,4927,0,0,0,0,,,,,,,,,7566.31396484375,,,11.9386614431855,12.9575878160232,,,,,,,,,,,,9996.86586461795,5705.46642791395,8944.15364033911,,,,,1667.87829589844,1638.75598144531,,,,,,,,,,,,,No
A10,SAFIPO_smpl,,,,Gadmor_cytb,1958.17993164063,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,39163.59765625,,,1992.57287597656,1924.76379394531,19821,16069,3752,0,0,0,0,,,,,,,,,7566.31396484375,,,14.001773318595,11.8472921260253,,,,,,,,,,,,10156.5141479105,5810.23766816552,9333.7892928576,,,,,1975.60168457031,1941.01232910156,,,,,,,,,,,,,No
