Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,STD10E4,,,,Myaare,2988.91577148438,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,59778.31640625,,,3047.0185546875,2933.54809570313,19335,17811,1524,0,0,0,0,,,,,,,,,1670.13671875,,,17.9777738674268,23.4475268400103,,,,,,,,,,,,5113.99304524082,633.76206261342,4760.85769393365,,,,,3018.20141601563,2960.34130859375,,,,,,,,,,,,,No
A02,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.181176871061325,0,19456,0,19456,0,0,0,0,,,,,,,,,1670.13671875,,,,30.8974926257463,,,,,,,,,,,,,672.086874290516,672.086874290516,,,,,0.0827839598059654,0,,,,,,,,,,,,,No
A03,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.177214384078979,0,19891,0,19891,0,0,0,0,,,,,,,,,1670.13671875,,,,32.8754090117414,,,,,,,,,,,,,632.539933905655,632.539933905655,,,,,0.0809734910726547,0,,,,,,,,,,,,,No
A04,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.190365120768547,0,18517,0,18517,0,0,0,0,,,,,,,,,1670.13671875,,,,32.5087335921856,,,,,,,,,,,,,633.762197139448,633.762197139448,,,,,0.0869821161031723,0,,,,,,,,,,,,,No
A05,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.175275638699532,0,20111,0,20111,0,0,0,0,,,,,,,,,1670.13671875,,,,31.7802378990726,,,,,,,,,,,,,652.97852235037,652.97852235037,,,,,0.0800876617431641,0,,,,,,,,,,,,,No
A06,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.186536774039268,0,18897,0,18897,0,0,0,0,,,,,,,,,1670.13671875,,,,31.2516983019814,,,,,,,,,,,,,673.894953050506,673.894953050506,,,,,0.0852329209446907,0,,,,,,,,,,,,,No
A07,smpl,,,,Myaare,0.127898097038269,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.55796194076538,,,0.409706681966782,0.019375666975975,18398,2,18396,0,0,0,0,,,,,,,,,1670.13671875,,,30.2026382986569,31.7374093738527,,,,,,,,,,,,4869.69921875,654.08941927431,654.547687542543,,,,,0.24589641392231,0.0555060617625713,,,,,,,,,,,,,No
A08,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.171748340129852,0,20524,0,20524,0,0,0,0,,,,,,,,,1670.13671875,,,,31.4263763910211,,,,,,,,,,,,,660.853672771792,660.853672771792,,,,,0.0784760192036629,0,,,,,,,,,,,,,No
A09,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.169951319694519,0,20741,0,20741,0,0,0,0,,,,,,,,,1670.13671875,,,,33.0552571947108,,,,,,,,,,,,,635.290286849167,635.290286849167,,,,,0.0776549503207207,0,,,,,,,,,,,,,No
A10,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.186467692255974,0,18904,0,18904,0,0,0,0,,,,,,,,,1670.13671875,,,,32.9467090915149,,,,,,,,,,,,,637.282536432797,637.282536432797,,,,,0.0852013602852821,0,,,,,,,,,,,,,No
A11,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.178633436560631,0,19733,0,19733,0,0,0,0,,,,,,,,,1670.13671875,,,,32.8327554879223,,,,,,,,,,,,,628.618820899511,628.618820899511,,,,,0.0816218554973602,0,,,,,,,,,,,,,No
A12,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.174278989434242,0,20226,0,20226,0,0,0,0,,,,,,,,,1670.13671875,,,,10.5746294841166,,,,,,,,,,,,,976.536496165715,976.536496165715,,,,,0.0796322897076607,0,,,,,,,,,,,,,No
B01,STD10E3,,,,Myaare,315.756805419922,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6315.13623046875,,,325.371978759766,306.219573974609,17851,4202,13649,0,0,0,0,,,,,,,,,1670.13671875,,,11.4350770567623,32.8333331669264,,,,,,,,,,,,4209.23375087849,528.947993546041,1395.26140748985,,,,,320.652648925781,310.881195068359,,,,,,,,,,,,,No
B02,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.182849869132042,0,19278,0,19278,0,0,0,0,,,,,,,,,1670.13671875,,,,31.9364053317881,,,,,,,,,,,,,657.436060870927,657.436060870927,,,,,0.083548367023468,0,,,,,,,,,,,,,No
B03,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.168175473809242,0,20960,0,20960,0,0,0,0,,,,,,,,,1670.13671875,,,,32.5779672176658,,,,,,,,,,,,,637.106163514115,637.106163514115,,,,,0.0768435448408127,0,,,,,,,,,,,,,No
B04,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.183487638831139,0,19211,0,19211,0,0,0,0,,,,,,,,,1670.13671875,,,,34.0557784506836,,,,,,,,,,,,,612.310641895533,612.310641895533,,,,,0.0838397517800331,0,,,,,,,,,,,,,No
B05,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.179023563861847,0,19690,0,19690,0,0,0,0,,,,,,,,,1670.13671875,,,,33.2023771588888,,,,,,,,,,,,,629.62829745299,629.62829745299,,,,,0.0818001106381416,0,,,,,,,,,,,,,No
B06,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.179397150874138,0,19649,0,19649,0,0,0,0,,,,,,,,,1670.13671875,,,,31.497825034104,,,,,,,,,,,,,654.812541608526,654.812541608526,,,,,0.0819708034396172,0,,,,,,,,,,,,,No
B07,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.188815087080002,0,18669,0,18669,0,0,0,0,,,,,,,,,1670.13671875,,,,33.1236247665518,,,,,,,,,,,,,630.354144928879,630.354144928879,,,,,0.0862738862633705,0,,,,,,,,,,,,,No
B08,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.173072382807732,0,20367,0,20367,0,0,0,0,,,,,,,,,1670.13671875,,,,31.6870198150212,,,,,,,,,,,,,657.80151859856,657.80151859856,,,,,0.0790809765458107,0,,,,,,,,,,,,,No
B09,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.174572482705116,0,20192,0,20192,0,0,0,0,,,,,,,,,1670.13671875,,,,29.4641156013351,,,,,,,,,,,,,666.713628965399,666.713628965399,,,,,0.0797663852572441,0,,,,,,,,,,,,,No
B10,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.182726636528969,0,19291,0,19291,0,0,0,0,,,,,,,,,1670.13671875,,,,31.7594307132688,,,,,,,,,,,,,663.722904500555,663.722904500555,,,,,0.0834920555353165,0,,,,,,,,,,,,,No
B11,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.202075704932213,0,17444,0,17444,0,0,0,0,,,,,,,,,1670.13671875,,,,29.4432229584614,,,,,,,,,,,,,608.571512211356,608.571512211356,,,,,0.0923326909542084,0,,,,,,,,,,,,,No
B12,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.173986494541168,0,20260,0,20260,0,0,0,0,,,,,,,,,1670.13671875,,,,7.48830021598111,,,,,,,,,,,,,1047.56038877707,1047.56038877707,,,,,0.0794986411929131,0,,,,,,,,,,,,,No
