"","file","Well","Sample description 1","Sample description 2","Sample description 3","Sample description 4","Target","Conc(copies/µL)","Molecular Weight(pg/µL)","Status","Status Reason","Experiment","SampleType","TargetType","Supermix","DyeName(s)","Copies/20µLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Accepted Droplets","Positives","Negatives","Ch1+Ch2+","Ch1+Ch2-","Ch1-Ch2+","Ch1-Ch2-","Linkage","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Threshold1","Threshold2","Threshold3","ThresholdSigmaAbove","ThresholdSigmaBelow","ReferenceUsed","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","Fractional Abundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","MeanAmplitudeOfPositives","MeanAmplitudeOfNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfidenceMax68","TotalConfidenceMin68","PoissonConfidenceMax68","PoissonConfidenceMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68","TiltCorrected","ddpcrNo","smpldscr01","smpldscr02","smpldscr03","smpldscr04","WellNumber","conc.copies.per.uL","column_label","WellName","WellType","Fprimer","Rprimer","Stnd_dil lvl","Templvol","watervol_pr_well","Fprimer_conc","Rprimer_conc","Probe_conc","Tube_No","flNm","WellNm02","unq_fltNmb","...1","Filt.Rnd","Filt.mbr.pore","Filt.Type","Biol.Rpl.nr","unkFilt.nr","Filtreret.volume..mL.","dato.for.filtrering","Tidspnkt.start.filt","Tidspnkt.slut.filt","Tidspnkt.Filt.indfrosset","Cartridge.nummer.I.manifold","Manifold.og.pumpe.nummer","Notat","ESXNR","subESXNr","ekstraktionsudbytte_vol_fra_filter_mL","ekstraktionsdato","konc_ng_per_uL","Note_til_ekstraktion","vol_ATL_buffer_uL","vol_proteinaseK_uL","vol_AL_buffer_uL","vol_96EtOH_uL","vol_AE_buffer_for_elutering_uL","fltvol.mL","flttim.end","flttim.sta","dt.f.filt","flttim.sta_hh","flttim.sta_mm","flttim.sta_hh_mm","flttim.end_hh","flttim.end_mm","flttim.end_hh_mm","fltm_end","fltm_sta","diff.time","extrvl_mL","extrconc_ngpuL","volATL_uL","volPK_uL","dt.f.extr","diff.dt.fil.extr","mlpermin","vlf.extrc","vly.rt","filt.smpltp","filt.psz","filt.mbr","extrconc_ngpuL_Pfltvol.L","covl","tmflt_end","tmflt_frz","tm.btw_fil_freez","filt.pszc","ddpcr_copies_uL","ddpcr_copies_uL_per_L","prv.type"
"1","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A01","STD10E4",NA,NA,NA,"Myaare","3506.46069335938",NA,"OK",NA,"DQ","PosCtrl","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","70129.2109375",NA,NA,"3583.00561523438","3434.59301757813","18102","17183","919","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,"20.3715328360027","31.9917733279618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5068.34114719496","602.211431692163","4841.60525013678",NA,NA,NA,NA,"3544.89184570313","3469.24536132813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","STD10E4","voltempl_10uL","1E4","Myaare","A01",3506.46069335938,"1","std_10E4_Myaare","standard","Myaare_CO1_F01","Myaare_CO1_R02","4","10","0","0.25","1.2000000000000002","0.20000000000000001","1","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","STD","STD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3506.46069335938,NA,NA
"2","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A02","smpl",NA,NA,NA,"Myaare","0",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","0",NA,NA,"0.198312401771545","0","17775","0","17775","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"36.1467048443754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"602.335329265353","602.335329265353",NA,NA,NA,NA,"0.0906132310628891","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A02",0,"1","1","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","9","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","001","001",1,"Rnd01","STX_0.22","CPS",1,"1",5000,"2024-jul-16",1101,1417,1437,NA,1,NA,35,1,0.7,"2024-aug-28",13.8,NA,720,80,400,400,200,5000,1417,1101,2024-07-16,11,"01","2024-07-16 11:01",14,"17","2024-07-16 14:17",2024-07-16 14:17:00,2024-07-16 11:01:00,196,0.7,13.8,720,80,2024-08-28,43,25.5102040816327,800,0.875,"smpl",0.22,"STX",2.76,2760,2024-07-16 14:17:00,2024-07-16 14:37:00,20,"0.22",0,0,"akvarie"
"3","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A03","smpl",NA,NA,NA,"Myaare","0",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","0",NA,NA,"0.196971446275711","0","17896","0","17896","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"35.5062134448094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"614.616725401522","614.616725401522",NA,NA,NA,NA,"0.0900005474686623","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A03",0,"1","121","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","17","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","121","121",9,"Rnd04","STX_0.45","CPS",1,"121",5000,"2024-jul-18",1136,1457,1514,NA,1,NA,35,9,0.7,"2024-aug-28",13.8,NA,720,80,400,400,200,5000,1457,1136,2024-07-18,11,"36","2024-07-18 11:36",14,"57","2024-07-18 14:57",2024-07-18 14:57:00,2024-07-18 11:36:00,201,0.7,13.8,720,80,2024-08-28,41,24.8756218905473,800,0.875,"smpl",0.45,"STX",2.76,2760,2024-07-18 14:57:00,2024-07-18 15:14:00,17,"0.45",0,0,"akvarie"
"4","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A04","smpl",NA,NA,NA,"Myaare","0",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","0",NA,NA,"0.189729809761047","0","18579","0","18579","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"35.8634271000553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"594.207980806768","594.207980806768",NA,NA,NA,NA,"0.086691826581955","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A04",0,"1","161","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","25","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","161","161",17,"Rnd05","STX_0.22NK","CPS",1,"161",5000,"2024-jul-30",1055,1432,1453,NA,1,NA,35,17,0.6,"2024-aug-28",3.72,NA,720,80,400,400,200,5000,1432,1055,2024-07-30,10,"55","2024-07-30 10:55",14,"32","2024-07-30 14:32",2024-07-30 14:32:00,2024-07-30 10:55:00,217,0.6,3.72,720,80,2024-08-28,29,23.0414746543779,800,0.75,"NK",0.22,"STX",0.744,744,2024-07-30 14:32:00,2024-07-30 14:53:00,21,"0.22",0,0,"NK"
"5","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A05","smpl",NA,NA,NA,"Myaare","0",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","0",NA,NA,"0.179205626249313","0","19670","0","19670","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"35.7414739825505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"599.506150005672","599.506150005672",NA,NA,NA,NA,"0.0818832814693451","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A05",0,"1","129","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","33","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","129","129",25,"Rnd04","PSE_0.45","DIS",1,"129",6500,"2024-jul-19",1020,1141,1150,1,2,NA,36,1,1.4,"2024-aug-29",15.4,NA,1440,160,800,800,200,6500,1141,1020,2024-07-19,10,"20","2024-07-19 10:20",11,"41","2024-07-19 11:41",2024-07-19 11:41:00,2024-07-19 10:20:00,81,1.4,15.4,1440,160,2024-08-29,41,80.2469135802469,1600,0.875,"smpl",0.45,"PSE",2.36923076923077,2369.23076923077,2024-07-19 11:41:00,2024-07-19 11:50:00,9,"0.45",0,0,"akvarie"
"6","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A06","smpl",NA,NA,NA,"Myaare","0",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","0",NA,NA,"0.181662440299988","0","19404","0","19404","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"34.037172342855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"623.649524615588","623.649524615588",NA,NA,NA,NA,"0.0830058306455612","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A06",0,"1","137","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","41","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","137","137",33,"Rnd04","PSE_0.45","DIS",9,"137",4900,"2024-jul-19",1020,1452,1505,5,2,NA,36,9,1.5,"2024-aug-29",14.2,NA,1440,160,800,800,200,4900,1452,1020,2024-07-19,10,"20","2024-07-19 10:20",14,"52","2024-07-19 14:52",2024-07-19 14:52:00,2024-07-19 10:20:00,272,1.5,14.2,1440,160,2024-08-29,41,18.0147058823529,1600,0.9375,"smpl",0.45,"PSE",2.89795918367347,2897.95918367347,2024-07-19 14:52:00,2024-07-19 15:05:00,13,"0.45",0,0,"akvarie"
"7","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A07","smpl",NA,NA,NA,"Myaare","0",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","0",NA,NA,"0.173892080783844","0","20271","0","20271","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"34.9945735640564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"614.096096845567","614.096096845567",NA,NA,NA,NA,"0.0794555023312569","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A07",0,"1","168","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","49","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","168","168",41,"Rnd05","PLC_0.22NK","DIS",4,"168",5000,"2024-jul-30",1305,2030,2047,2,2,NA,36,17,1.5,"2024-aug-29",4.69,NA,1440,160,800,800,200,5000,2030,1305,2024-07-30,13,"05","2024-07-30 13:05",20,"30","2024-07-30 20:30",2024-07-30 20:30:00,2024-07-30 13:05:00,445,1.5,4.69,1440,160,2024-08-29,30,11.2359550561798,1600,0.9375,"NK",0.22,"PLC",0.938,938,2024-07-30 20:30:00,2024-07-30 20:47:00,17,"0.22",0,0,"NK"
"8","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A08","smpl",NA,NA,NA,"Myaare","0.0549149550497532",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","1.09829914569855",NA,NA,"0.262296944856644","0.00230637658387423","21424","1","21423","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"35.6070490539388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4681.10546875","608.338526207732","608.52862922036",NA,NA,NA,NA,"0.136688083410263","0.0148817002773285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A08",0.0549149550497532,"1","200","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","57","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","200","200",49,"Rnd05","PLC_3.00NK","DIS",4,"200",5000,"2024-jul-30",1755,1938,1945,8,3,NA,36,25,1.4,"2024-aug-29",0.675,NA,1440,160,800,800,200,5000,1938,1755,2024-07-30,17,"55","2024-07-30 17:55",19,"38","2024-07-30 19:38",2024-07-30 19:38:00,2024-07-30 17:55:00,103,1.4,0.675,1440,160,2024-08-29,30,48.5436893203884,1600,0.875,"NK",3,"PLC",0.135,135,2024-07-30 19:38:00,2024-07-30 19:45:00,7,"3",0.0549149550497532,0.0109829910099506,"NK"
"9","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A09","smpl",NA,NA,NA,"Myaare","0",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","0",NA,NA,"0.16498726606369","0","21365","0","21365","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"34.8644464167984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"621.251867814335","621.251867814335",NA,NA,NA,NA,"0.0753868371248245","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A09",0,"1","55","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","65","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","055","055",57,"Rnd02","PLC_0.80","DIS",7,"55",5500,"2024-jul-17",1048,1559,1614,4,2,NA,37,7,1.4,"2024-sep-04",12.6,NA,1440,160,800,800,200,5500,1559,1048,2024-07-17,10,"48","2024-07-17 10:48",15,"59","2024-07-17 15:59",2024-07-17 15:59:00,2024-07-17 10:48:00,311,1.4,12.6,1440,160,2024-09-04,49,17.6848874598071,1600,0.875,"smpl",0.8,"PLC",2.29090909090909,2290.90909090909,2024-07-17 15:59:00,2024-07-17 16:14:00,15,"0.8",0,0,"akvarie"
"10","swk_ddpcr0062_20250121_20250121_102143_319_measure_conc_on_filters_Myaare_dil1to1.csv","A10","smpl",NA,NA,NA,"Myaare","0",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","0",NA,NA,"0.266166180372238","0","13244","0","13244","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1711.98132324219",NA,NA,NA,"14.0253820932583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"576.417702051852","576.417702051852",NA,NA,NA,NA,"0.121615186333656","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0062","smpl","voltempl_10uL",NA,"Myaare","A10",0,"1","63","unknown","Myaare_CO1_F01","Myaare_CO1_R02",NA,"10","0","0.25","1.2000000000000002","0.20000000000000001","73","setup_ddpcr0062_Myaare_dil1to1_20250120.xls","063","063",65,"Rnd02","PLC_0.80","DIS",15,"63",5000,"2024-jul-17",1048,1701,1750,8,2,NA,37,15,1.4,"2024-sep-04",15.2,NA,1440,160,800,800,200,5000,1701,1048,2024-07-17,10,"48","2024-07-17 10:48",17,"01","2024-07-17 17:01",2024-07-17 17:01:00,2024-07-17 10:48:00,373,1.4,15.2,1440,160,2024-09-04,49,13.4048257372654,1600,0.875,"smpl",0.8,"PLC",3.04,3040,2024-07-17 17:01:00,2024-07-17 17:50:00,49,"0.8",0,0,"akvarie"
