"","file","Well","Sample description 1","Sample description 2","Sample description 3","Sample description 4","Target","Conc(copies/µL)","Molecular Weight(pg/µL)","Status","Status Reason","Experiment","SampleType","TargetType","Supermix","DyeName(s)","Copies/20µLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Accepted Droplets","Positives","Negatives","Ch1+Ch2+","Ch1+Ch2-","Ch1-Ch2+","Ch1-Ch2-","Linkage","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Threshold1","Threshold2","Threshold3","ThresholdSigmaAbove","ThresholdSigmaBelow","ReferenceUsed","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","Fractional Abundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","MeanAmplitudeOfPositives","MeanAmplitudeOfNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfidenceMax68","TotalConfidenceMin68","PoissonConfidenceMax68","PoissonConfidenceMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68","TiltCorrected","ddpcrNo","smpldscr01","smpldscr02","smpldscr03","smpldscr04","WellNumber","conc.copies.per.uL","column_label","WellName","WellType","Fprimer","Rprimer","Stnd_dil lvl","Templvol","watervol_pr_well","Fprimer_conc","Rprimer_conc","Probe_conc","Tube_No","flNm","WellNm02","unq_fltNmb","...1","Filt.Rnd","Filt.mbr.pore","Filt.Type","Biol.Rpl.nr","unkFilt.nr","Filtreret.volume..mL.","dato.for.filtrering","Tidspnkt.start.filt","Tidspnkt.slut.filt","Tidspnkt.Filt.indfrosset","Cartridge.nummer.I.manifold","Manifold.og.pumpe.nummer","Notat","ESXNR","subESXNr","ekstraktionsudbytte_vol_fra_filter_mL","ekstraktionsdato","konc_ng_per_uL","Note_til_ekstraktion","vol_ATL_buffer_uL","vol_proteinaseK_uL","vol_AL_buffer_uL","vol_96EtOH_uL","vol_AE_buffer_for_elutering_uL","fltvol.mL","flttim.end","flttim.sta","dt.f.filt","flttim.sta_hh","flttim.sta_mm","flttim.sta_hh_mm","flttim.end_hh","flttim.end_mm","flttim.end_hh_mm","fltm_end","fltm_sta","diff.time","extrvl_mL","extrconc_ngpuL","volATL_uL","volPK_uL","dt.f.extr","diff.dt.fil.extr","mlpermin","vlf.extrc","vly.rt","filt.smpltp","filt.psz","filt.mbr","extrconc_ngpuL_Pfltvol.L","covl","tmflt_end","tmflt_frz","tm.btw_fil_freez","filt.pszc","ddpcr_copies_uL","ddpcr_copies_uL_per_L","prv.type"
"1","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A01","STD10E4",NA,NA,NA,"Plepla","4448.35791015625",NA,"OK",NA,"DQ","PosCtrl","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","88967.15625",NA,NA,"4569.6806640625","4338.38525390625","17151","16760","391","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"10.174062925466","11.7976298206928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18172.6101151714","7408.32406764506","17927.2112553625",NA,NA,NA,NA,"4508.69384765625","4390.96630859375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","STD10E4","voltempl_10uL","1E4","Plepla","A01",4448.35791015625,"1","std_10E4_Plepla","standard","Plepla_F15107","Plepla_R15196","4","10","0","1","0.20000000000000001","0.30000000000000004","1","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","STD","STD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4448.35791015625,NA,NA
"2","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A02","smpl",NA,NA,NA,"Plepla","0.395673960447311",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","7.91347932815552",NA,NA,"0.808899581432343","0.154956445097923","17843","6","17837","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"0.867593109562413","17.9814846213738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18970.2631835938","8635.65726505123","8639.13244498236",NA,NA,NA,NA,"0.581686675548553","0.254337131977081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A02",0.395673960447311,"1","1","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","9","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","001","001",1,"Rnd01","STX_0.22","CPS",1,"1",5000,"2024-jul-16",1101,1417,1437,NA,1,NA,35,1,0.7,"2024-aug-28",13.8,NA,720,80,400,400,200,5000,1417,1101,2024-07-16,11,"01","2024-07-16 11:01",14,"17","2024-07-16 14:17",2024-07-16 14:17:00,2024-07-16 11:01:00,196,0.7,13.8,720,80,2024-08-28,43,25.5102040816327,800,0.875,"smpl",0.22,"STX",2.76,2760,2024-07-16 14:17:00,2024-07-16 14:37:00,20,"0.22",0.395673960447311,0.0791347920894622,"akvarie"
"3","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A03","smpl",NA,NA,NA,"Plepla","0.332796990871429",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","6.65594005584717",NA,NA,"0.72328782081604","0.117000684142113","17678","5","17673","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"1.48592602649014","16.5231598163031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22041.2009765625","8988.05805725674","8991.74997458883",NA,NA,NA,NA,"0.506887257099152","0.204059943556786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A03",0.332796990871429,"1","121","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","17","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","121","121",9,"Rnd04","STX_0.45","CPS",1,"121",5000,"2024-jul-18",1136,1457,1514,NA,1,NA,35,9,0.7,"2024-aug-28",13.8,NA,720,80,400,400,200,5000,1457,1136,2024-07-18,11,"36","2024-07-18 11:36",14,"57","2024-07-18 14:57",2024-07-18 14:57:00,2024-07-18 11:36:00,201,0.7,13.8,720,80,2024-08-28,41,24.8756218905473,800,0.875,"smpl",0.45,"STX",2.76,2760,2024-07-18 14:57:00,2024-07-18 15:14:00,17,"0.45",0.332796990871429,0.0665593981742858,"akvarie"
"4","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A04","smpl",NA,NA,NA,"Plepla","0.0663454458117485",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","1.32690894603729",NA,NA,"0.316899597644806","0.0027864333242178","17733","1","17732","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,NA,"13.9769410495834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13356.30859375","8783.65459619923","8783.91245747468",NA,NA,NA,NA,"0.165140748023987","0.0179792456328869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A04",0.0663454458117485,"1","161","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","25","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","161","161",17,"Rnd05","STX_0.22NK","CPS",1,"161",5000,"2024-jul-30",1055,1432,1453,NA,1,NA,35,17,0.6,"2024-aug-28",3.72,NA,720,80,400,400,200,5000,1432,1055,2024-07-30,10,"55","2024-07-30 10:55",14,"32","2024-07-30 14:32",2024-07-30 14:32:00,2024-07-30 10:55:00,217,0.6,3.72,720,80,2024-08-28,29,23.0414746543779,800,0.75,"NK",0.22,"STX",0.744,744,2024-07-30 14:32:00,2024-07-30 14:53:00,21,"0.22",0.0663454458117485,0.0132690891623497,"NK"
"5","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A05","smpl",NA,NA,NA,"Plepla","0.301806181669235",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","6.03612375259399",NA,NA,"0.65592348575592","0.106106221675873","19493","5","19488","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"1.34709022243628","14.6840359703723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16157.7685546875","9322.07307140933","9323.82644325647",NA,NA,NA,NA,"0.45968160033226","0.185058355331421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A05",0.301806181669235,"1","129","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","33","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","129","129",25,"Rnd04","PSE_0.45","DIS",1,"129",6500,"2024-jul-19",1020,1141,1150,1,2,NA,36,1,1.4,"2024-aug-29",15.4,NA,1440,160,800,800,200,6500,1141,1020,2024-07-19,10,"20","2024-07-19 10:20",11,"41","2024-07-19 11:41",2024-07-19 11:41:00,2024-07-19 10:20:00,81,1.4,15.4,1440,160,2024-08-29,41,80.2469135802469,1600,0.875,"smpl",0.45,"PSE",2.36923076923077,2369.23076923077,2024-07-19 11:41:00,2024-07-19 11:50:00,9,"0.45",0.301806181669235,0.0464317202568054,"akvarie"
"6","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A06","smpl",NA,NA,NA,"Plepla","0.307968556880951",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","6.1593713760376",NA,NA,"0.669318377971649","0.108272545039654","19103","5","19098","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"1.64681068899523","12.7221760232949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13805.6205078125","9317.66783076414","9318.84250298239",NA,NA,NA,NA,"0.469068169593811","0.188836738467216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A06",0.307968556880951,"1","137","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","41","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","137","137",33,"Rnd04","PSE_0.45","DIS",9,"137",4900,"2024-jul-19",1020,1452,1505,5,2,NA,36,9,1.5,"2024-aug-29",14.2,NA,1440,160,800,800,200,4900,1452,1020,2024-07-19,10,"20","2024-07-19 10:20",14,"52","2024-07-19 14:52",2024-07-19 14:52:00,2024-07-19 10:20:00,272,1.5,14.2,1440,160,2024-08-29,41,18.0147058823529,1600,0.9375,"smpl",0.45,"PSE",2.89795918367347,2897.95918367347,2024-07-19 14:52:00,2024-07-19 15:05:00,13,"0.45",0.307968556880951,0.0628507258940716,"akvarie"
"7","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A07","smpl",NA,NA,NA,"Plepla","0.321888566017151",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","6.43777132034302",NA,NA,"0.699576139450073","0.113165989518166","18277","5","18272","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"1.6860204219382","12.4535102310941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16119.3962890625","9494.08429917103","9495.8967716747",NA,NA,NA,NA,"0.490271389484406","0.197371631860733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A07",0.321888566017151,"1","168","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","49","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","168","168",41,"Rnd05","PLC_0.22NK","DIS",4,"168",5000,"2024-jul-30",1305,2030,2047,2,2,NA,36,17,1.5,"2024-aug-29",4.69,NA,1440,160,800,800,200,5000,2030,1305,2024-07-30,13,"05","2024-07-30 13:05",20,"30","2024-07-30 20:30",2024-07-30 20:30:00,2024-07-30 13:05:00,445,1.5,4.69,1440,160,2024-08-29,30,11.2359550561798,1600,0.9375,"NK",0.22,"PLC",0.938,938,2024-07-30 20:30:00,2024-07-30 20:47:00,17,"0.22",0.321888566017151,0.0643777132034302,"NK"
"8","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A08","smpl",NA,NA,NA,"Plepla","0.182923212647438",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","3.65846419334412",NA,NA,"0.484869688749313","0.043411199003458","19296","3","19293","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"1.1828388246289","12.0032679979534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20640.2740885417","9700.37609222338","9702.07694701136",NA,NA,NA,NA,"0.31318187713623","0.0950555428862572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A08",0.182923212647438,"1","200","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","57","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","200","200",49,"Rnd05","PLC_3.00NK","DIS",4,"200",5000,"2024-jul-30",1755,1938,1945,8,3,NA,36,25,1.4,"2024-aug-29",0.675,NA,1440,160,800,800,200,5000,1938,1755,2024-07-30,17,"55","2024-07-30 17:55",19,"38","2024-07-30 19:38",2024-07-30 19:38:00,2024-07-30 17:55:00,103,1.4,0.675,1440,160,2024-08-29,30,48.5436893203884,1600,0.875,"NK",3,"PLC",0.135,135,2024-07-30 19:38:00,2024-07-30 19:45:00,7,"3",0.182923212647438,0.0365846425294876,"NK"
"9","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A09","smpl",NA,NA,NA,"Plepla","0.249490097165108",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","4.98980188369751",NA,NA,"0.588319957256317","0.07527806609869","18864","4","18860","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"1.70943052432893","11.9777593372163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15493.7939453125","9570.34891055806","9571.60494216",NA,NA,NA,NA,"0.398523300886154","0.143263220787048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A09",0.249490097165108,"1","55","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","65","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","055","055",57,"Rnd02","PLC_0.80","DIS",7,"55",5500,"2024-jul-17",1048,1559,1614,4,2,NA,37,7,1.4,"2024-sep-04",12.6,NA,1440,160,800,800,200,5500,1559,1048,2024-07-17,10,"48","2024-07-17 10:48",15,"59","2024-07-17 15:59",2024-07-17 15:59:00,2024-07-17 10:48:00,311,1.4,12.6,1440,160,2024-09-04,49,17.6848874598071,1600,0.875,"smpl",0.8,"PLC",2.29090909090909,2290.90909090909,2024-07-17 15:59:00,2024-07-17 16:14:00,15,"0.8",0.249490097165108,0.0453618358482015,"akvarie"
"10","swk_ddpcr0065_20250129_20250129_101800_212_measure_conc_on_filters_Plepla_dil1to1.csv","A10","smpl",NA,NA,NA,"Plepla","0.237610831856728",NA,"OK",NA,"DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","4.75221681594849",NA,NA,"0.560303747653961","0.0716940090060234","19807","4","19803","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"13084.9482421875",NA,NA,"1.64271714452137","11.628716043396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18196.2658691406","9865.38221456937","9867.06462657615",NA,NA,NA,NA,"0.379546791315079","0.136442139744759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0065","smpl","voltempl_10uL",NA,"Plepla","A10",0.237610831856728,"1","63","unknown","Plepla_F15107","Plepla_R15196",NA,"10","0","1","0.20000000000000001","0.30000000000000004","73","setup_ddpcr0065_Plepla_dil1to1_20250128.xls","063","063",65,"Rnd02","PLC_0.80","DIS",15,"63",5000,"2024-jul-17",1048,1701,1750,8,2,NA,37,15,1.4,"2024-sep-04",15.2,NA,1440,160,800,800,200,5000,1701,1048,2024-07-17,10,"48","2024-07-17 10:48",17,"01","2024-07-17 17:01",2024-07-17 17:01:00,2024-07-17 10:48:00,373,1.4,15.2,1440,160,2024-09-04,49,13.4048257372654,1600,0.875,"smpl",0.8,"PLC",3.04,3040,2024-07-17 17:01:00,2024-07-17 17:50:00,49,"0.8",0.237610831856728,0.0475221663713456,"akvarie"
